6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-04","10450","10530","10315","10435","3789100","10435"
"2021-01-05","10300","10620","10300","10570","4996200","10570"
"2021-01-06","10560","10600","10325","10330","4248400","10330"
"2021-01-07","10500","10555","10400","10440","4183800","10440"
"2021-01-08","10445","10715","10390","10715","6155600","10715"
"2021-01-12","10725","10860","10560","10850","5793400","10850"
"2021-01-14","10770","10800","10635","10750","4553900","10750"
"2021-01-18","10520","10535","10370","10480","2580100","10480"
"2021-01-19","10560","10635","10510","10605","2666400","10605"
"2021-01-20","10710","10745","10520","10590","2302400","10590"
"2021-01-21","10595","10665","10510","10605","3088000","10605"
"2021-01-22","10470","10510","10385","10480","3683800","10480"
"2021-01-25","10460","10490","10155","10300","5221700","10300"
"2021-01-26","10250","10340","10160","10285","3810700","10285"
"2021-01-27","10300","10400","10125","10270","4777800","10270"
"2021-01-28","9950","10075","9915","10035","6602500","10035"
"2021-01-29","10235","10235","9963","10050","4674700","10050"
"2021-02-01","9998","10210","9980","10155","2796600","10155"
"2021-02-02","10450","10570","10310","10465","4400700","10465"
"2021-02-03","10505","10670","10365","10635","4863800","10635"
"2021-02-12","11965","12000","11785","11845","3838900","11845"
"2021-02-24","11840","11880","11325","11325","6443800","11325"
"2021-02-26","11150","11375","11120","11120","6163800","11120"
"2021-03-03","11275","11390","11210","11330","3451400","11330"
"2021-03-09","10800","10885","10580","10810","6083500","10810"
